               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.031266,            0.011202,                   0,              0.6157,             0.59375,             0.51079,             0.32942,            0.043037,            0.015368,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.029633,            0.010956,                   0,             0.55481,               0.625,             0.52567,             0.34516,             0.04459,            0.013729,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.028399,            0.010708,                   0,             0.64254,             0.59375,             0.54087,             0.36411,            0.042773,            0.013851,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.029158,           0.0099899,                   0,             0.63946,             0.55447,             0.53604,              0.3624,            0.038961,            0.014373,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.030165,            0.011388,                   0,             0.62544,              0.4375,             0.47065,             0.32437,            0.042686,             0.01704,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.028648,            0.009597,                   0,             0.67281,             0.46875,             0.50687,               0.349,            0.040402,            0.016297,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.026959,           0.0094681,                   0,             0.51911,              0.5625,             0.49747,             0.33666,            0.042772,            0.015657,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.027273,            0.010494,                   0,             0.53719,             0.53125,             0.42517,             0.26764,            0.039976,              0.0158,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.027194,            0.010738,                   0,             0.60139,             0.56587,             0.52544,             0.35382,            0.038204,            0.015623,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.027254,            0.010954,                   0,             0.65493,             0.59375,             0.54903,             0.34224,            0.042915,            0.014817,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.026675,           0.0097171,                   0,             0.64235,               0.625,             0.55004,             0.35052,            0.040565,             0.01434,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.02882,             0.01145,                   0,             0.66253,             0.65625,              0.5747,             0.37326,            0.041937,            0.013353,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.027755,            0.010233,                   0,             0.69535,             0.57084,             0.58851,             0.36877,            0.038086,            0.015193,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.029131,            0.010306,                   0,             0.71395,              0.5625,             0.57581,             0.34335,            0.038729,            0.014901,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.028608,           0.0098051,                   0,             0.69957,             0.65494,             0.55862,             0.35659,            0.039198,            0.015433,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.028633,            0.009746,                   0,              0.6726,             0.65625,             0.58897,             0.38159,            0.040386,            0.013855,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.025457,            0.010127,                   0,             0.60481,              0.6875,             0.56716,             0.39177,            0.039901,            0.013587,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.027784,           0.0099759,                   0,             0.55188,             0.65432,             0.54427,             0.34275,            0.039512,            0.015556,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.029553,            0.009869,                   0,             0.58284,             0.56773,              0.5297,             0.34027,            0.040387,            0.018123,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.027932,           0.0098362,                   0,             0.60574,             0.57641,             0.48928,             0.34677,            0.042678,            0.017374,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.026215,            0.010349,                   0,             0.56597,             0.65625,             0.53252,               0.396,            0.043648,            0.015697,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.026662,            0.010038,                   0,             0.58692,             0.65625,             0.54163,             0.36926,            0.042726,            0.015742,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.027139,            0.009407,                   0,             0.58809,             0.59375,             0.54921,             0.39445,            0.041225,            0.015067,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.028963,           0.0096162,                   0,             0.54952,              0.6875,             0.58262,             0.39653,            0.039099,             0.01549,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.026228,            0.010728,                   0,             0.58689,             0.65625,             0.56918,             0.40155,            0.039503,            0.015905,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.025448,            0.010256,                   0,             0.68917,               0.625,             0.58972,             0.39447,            0.038799,            0.014791,                   0,            0.005578,            0.005578,            0.005578
